#{"t_start": 1645276490.690877, "env_id": "scenario2_None_None-v1"}
r,l,t
2.821429,183,1.098257
9.104286,123,1.840125
0.734286,83,2.320248
20.987143,250,3.728447
5.0,179,4.834583
0.0,95,5.918902
10.445714,250,7.404066
10.9,105,7.991737
15.758571,119,8.735289
14.415714,199,9.862974
4.875714,250,11.354414
0.0,250,11.90562
-0.117143,67,12.481335
0.651429,55,12.794488
-1.085714,69,13.173642
15.525714,199,14.404361
10.808571,250,15.90301
4.504286,137,16.758699
3.228571,141,17.601784
0.0,95,18.136565
-2.87,65,18.503412
4.642857,86,18.97101
11.647143,250,20.440841
13.332857,167,21.385928
5.772857,139,22.247514
12.151429,85,22.731457
9.018571,90,23.292003
0.594286,63,23.67086
0.0,250,24.122772
5.175714,124,24.994478
-0.092857,55,25.39
7.945714,250,26.797341
1.792857,250,28.26693
4.37,250,29.796357
0.0,104,30.250474
-0.96,250,31.76509
4.092857,250,33.309525
6.394286,250,34.805587
-2.658571,96,35.38223
0.0,104,36.296235
2.294286,250,37.777932
-1.534286,250,39.24278
5.268571,250,40.631672
-3.378571,63,41.004403
-4.204286,156,41.927114
0.0,250,42.278271
2.86,250,43.745765
1.964286,250,45.132441
1.898571,250,46.601613
-3.091429,76,47.062367
0.0,250,48.160656
2.471429,250,49.637738
-3.07,124,50.379563
5.737143,250,51.784712
4.738571,250,53.291886
0.0,250,54.212377
-0.53,250,55.813718
4.841429,250,57.27508
1.73,235,58.693852
-0.987143,250,60.195703
0.0,250,60.375381
2.772857,250,61.861481
2.668571,250,63.39085
2.205714,250,64.780411
2.855714,250,66.279762
0.0,250,66.451674
4.042857,250,67.945367
-1.79,182,68.973598
3.204286,250,70.489005
1.168571,250,71.908375
0.0,250,72.448432
4.622857,250,73.920924
3.288571,250,75.436234
1.602857,250,76.899516
2.158571,250,78.414916
0.0,250,78.581961
2.55,250,80.05109
4.7,250,81.43091
4.674286,250,82.896183
4.86,250,84.281882
0.0,250,84.451045
2.592857,250,85.921658
3.125714,250,87.398961
2.601429,250,88.817813
5.538571,250,90.306215
0.0,250,90.475351
11.801429,250,91.968959
3.705714,250,93.36841
3.422857,250,94.820734
3.875714,250,96.192991
0.0,250,96.361202
3.72,250,97.856122
7.007143,250,99.347241
8.064286,250,100.720483
4.848571,250,102.170513
0.0,250,102.34009
6.474286,250,103.791496
3.297143,250,105.16243
5.115714,250,106.610084
7.225714,250,107.984558
0.0,250,108.152137
7.214286,250,109.600213
8.332857,250,111.048737
2.448571,250,112.420211
2.661429,250,113.870935
0.0,250,114.038304
3.571429,250,115.488876
1.598571,250,116.856817
4.377143,250,118.3081
3.651429,250,119.675025
0.0,250,119.842194
2.715714,250,121.288268
2.888571,250,122.731522
2.518571,250,124.099718
2.19,250,125.544128
0.0,250,125.710939
2.087143,250,127.155952
0.425714,250,128.524752
2.051429,250,129.973096
2.702857,250,131.368296
0.0,250,131.536863
2.901429,250,133.018013
3.202857,250,134.51426
3.854286,250,135.912542
4.117143,250,137.526411
0.0,250,137.694128
2.235714,250,139.149837
0.288571,250,140.542279
1.735714,250,142.025517
2.207143,250,143.421324
0.0,250,143.593531
2.484286,250,145.070864
2.137143,250,146.641852
2.974286,250,148.165412
